id;value;parent
457;45515;45
458;45636;45
459;45430;45
460;45534;45
461;45114;45
462;45622;45
463;45663;45
464;45128;45
465;45930;45
466;45541;45
467;45830;45
468;45672;45
469;45270;45
470;45576;45
471;45685;45
472;45620;45
473;45400;45
474;45190;45
475;45670;45
476;45150;45
477;45610;45
478;45573;45
479;45140;45
480;45677;45
481;45130;45
482;45630;45
483;45121;45
484;45191;45
485;45350;45
486;45162;45
487;45917;45
488;45519;45
489;45230;45
490;45644;45
491;45300;45
492;45280;45
493;45340;45
494;45450;45
495;45560;45
496;45543;45
497;45213;45
498;45290;45
499;45611;45
500;45918;45
501;45638;45
502;45678;45
503;45161;45
504;45512;45
505;45220;45
506;45840;45
507;45516;45
508;45690;45
509;45570;45
510;45577;45
511;45125;45
512;45790;45
513;45800;45
514;45514;45
515;45640;45
516;45211;45
517;45652;45
518;45524;45
519;45676;45
520;45674;45
521;45770;45
522;45691;45
523;45654;45
524;45165;45
525;45170;45
526;45120;45
527;45646;45
528;45653;45
529;45370;45
530;45513;45
531;45530;45
532;45526;45
533;45632;45
534;45621;45
535;45224;45
536;45223;45
537;45100;45
538;45635;45
539;45600;45
540;45694;45
541;45780;45
542;45820;45
543;45000;45
544;45920;45
545;45572;45
546;45500;45
547;45163;45
548;45789;45
549;45217;45
550;45480;45
551;45139;45
552;45940;45
553;45612;45
554;45127;45
555;45183;45
556;45568;45
557;45850;45
558;45860;45
559;45520;45
560;45594;45
561;45440;45
562;45749;45
563;45810;45
564;45410;45
565;45179;45
566;45360;45
567;45260;45
568;45740;45
569;45310;45
570;45215;45
571;45470;45
572;45313;45
573;45529;45
574;45591;45
575;45210;45
576;1071;1
577;1080;1
578;1008;1
579;1013;1
580;1015;1
581;1001;1
582;1006;1
583;1002;1
584;1010;1
585;1012;1
586;1007;1
587;1005;1
588;1003;1
589;1004;1
590;1009;1
591;33200;33
592;33203;33
593;33201;33
594;33205;33
595;33211;33
596;33207;33
597;33208;33
598;33202;33
599;33206;33
600;33213;33
601;33212;33
602;33204;33
603;33210;33
604;33209;33
605;33394;33
606;33350;33
607;33299;33
608;33290;33
609;36589;36
610;36612;36
611;36954;36
612;36867;36
613;36690;36
614;36937;36
615;36888;36
616;36555;36
617;36141;36
618;36979;36
619;36629;36
620;36685;36
621;36520;36
622;36526;36
623;36854;36
624;36190;36
625;36913;36
626;36990;36
627;36157;36
628;36516;36
629;36418;36
630;36720;36
631;36429;36
632;36528;36
633;36391;36
